"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Oberon Medical Centre","Oberon","NSW",2787,149.855072021484,-33.7042083740234,"General practice service","GP",6
"Norwest General Practice","Bella Vista","NSW",2153,150.944473266602,-33.7330131530762,"General practice service","GP",11
"Melbourne North Medical Clinic","Melbourne","VIC",3000,144.95812664,-37.8042088,"General practice service","GP",57
"Ingle Farm Medical Centre","Ingle Farm","SA",5098,138.64974431,-34.82995382,"General practice service","GP",4
"Westgate Health Co-Op Limited - Newport","Newport","VIC",3015,144.88752746582,-37.8440742492676,"General practice service","GP",10
"North St Ives Medical Practice","St Ives Chase","NSW",2075,151.159713745117,-33.7111625671387,"General practice service","GP",2
"Shark Bay Health Centre","Denham","WA",6537,113.536224365234,-25.9277019500732,"Nurse led clinic","GP",2
"Raymond Mcmahon Medical Centre","Endeavour Hills","VIC",3802,145.261138916016,-37.9788627624512,"General practice service","GP",7
"Katoomba Community Health Centre","Katoomba","NSW",2780,150.313171386719,-33.7179222106934,"Nurse led clinic","GP",6
"Goldfields Womens Health Care Centre","Kalgoorlie","WA",6430,121.472869873047,-30.7438678741455,"Nurse led clinic","GP",11
"Ochre Medical Centre Cohuna","Cohuna","VIC",3568,144.21875,-35.8061065673828,"General practice service","GP",2
"Community Carers' Team","Rozelle","NSW",2039,151.16810576,-33.86549686,"Maternal, child and family health service","GP",7
"Medical On William","Port Macquarie","NSW",2444,152.9090945,-31.4308406,"General practice service","GP",31
"Beaudesert General Practice And Skin Cancer Clinic","Beaudesert","QLD",4285,152.999237060547,-27.9904232025147,"General practice service","GP",11
"Powell Street Family Practice","Yagoona","NSW",2199,151.034896850586,-33.9049682617188,"General practice service","GP",8
"Kingsway Drive Medical Centre","Lalor","VIC",3075,145.004913330078,-37.6644706726074,"General practice service","GP",9
"Maternal And Child Health Centre - Mt Waverley - Sherwood Road","Mount Waverley","VIC",3149,145.12760925293,-37.8788375854492,"Maternal, child and family health service","GP",18
"Moonee Ponds Medical Centre","Moonee Ponds","VIC",3039,144.917938232422,-37.7660713195801,"General practice service","GP",16
"Mamu Health Service Limited - Babinda","Babinda","QLD",4861,145.921875,-17.3442840576172,"Aboriginal and Torres Strait Islander health service","GP",6
"Health Dew Medical Centre","Hampton Park","VIC",3976,145.25666809082,-38.0341987609863,"General practice service","GP",9
"Mungindi Aboriginal Health Service Nsw","Mungindi","NSW",2406,148.98902752,-28.9764094,"Aboriginal and Torres Strait Islander health service","GP",4
"Katherine Community Health Centre","Katherine","NT",850,132.264144897461,-14.4641628265381,"Maternal, child and family health service","GP",12
"Family Medical Practice @ 2325","Nulkaba","NSW",2325,151.350250244141,-32.8081741333008,"General practice service","GP",1
"Moreton Atsichs - Morayfield","Morayfield","QLD",4506,152.94974696,-27.111846,"Aboriginal and Torres Strait Islander health service","GP",11
"Morayfield Child Health","Caboolture South","QLD",4510,152.947601318359,-27.0978698730469,"Maternal, child and family health service","GP",3
"Bass Coast Health - Wonthaggi Hospital","Wonthaggi","VIC",3995,145.581314086914,-38.6082763671875,"Community cancer service","GP",8
"Ochre Medical Centre Sippy Downs","Sippy Downs","QLD",4556,153.064300537109,-26.7130298614502,"General practice service","GP",8
